"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
122,"YEL","121",6,0,179,0,2,2,2,0,0,0,0,0,NA,0,0,0,179,179,5,0,5,5,5,NA,0,0,10,0,0,0,30,"Poor"
123,"YEL","125",6,1,228,0,2,3,3,0,0,0,0,0,NA,8.33333333333333,0.43859649122807,0,228,211.111111111111,5,0,5,0,5,NA,0,0,0,0,0,0,15,"Poor"
124,"YEL","140",5,60,80,2,3,2,1,60,75,0,0,60,0,1.25,75,30,20,10,5,5,5,10,5,0,0,5,5,10,0,10,60,"Fair"
125,"YEL","153",13,0,1461,0,5,8,4,0,0,0,0,0,NA,11.9096509240246,0,0,1461,487,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
126,"YEL","154",6,1,444,0,2,3,3,0,0,0,0,0,NA,18.9189189189189,0.225225225225225,0,444,148,5,0,5,0,5,NA,0,0,0,0,0,0,15,"Poor"
127,"YEL","157",2,0,37,0,1,1,0,0,0,0,0,0,NA,0,0,0,37,19.2708333333333,10,0,10,10,10,NA,0,0,10,0,0,5,55,"Fair"
128,"YEL","165",15,17,739,1,6,8,5,17,2.30040595399188,0,0,17,0,41.1366711772666,2.30040595399188,5.66666666666667,722,240.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
129,"YEL","168",4,92,128,1,2,1,2,92,71.875,0,0,92,0,5.46875,71.875,30.6666666666667,36,12,10,0,10,5,5,0,0,5,0,5,0,10,50,"Fair"
131,"YEL","173",7,0,173,0,3,2,3,0,0,0,0,0,NA,4.6242774566474,0,0,173,96.1111111111111,5,0,5,0,5,NA,0,0,0,0,0,0,15,"Poor"
132,"YEL","177",5,0,102,0,3,4,1,0,0,0,0,0,NA,0,0,0,102,102,5,0,0,10,5,NA,0,0,10,0,0,0,30,"Poor"
133,"YEL","189",5,0,40,0,3,3,1,0,0,0,0,0,NA,0,0,0,40,25,5,0,5,10,5,NA,0,0,10,0,0,5,40,"Fair"
135,"LMAQ","8",6,37,84,2,2,2,2,39,46.4285714285714,2,2.38095238095238,37,0,0,44.047619047619,19.5,45,22.5,5,5,5,5,5,0,0,5,10,5,0,5,50,"Fair"
136,"LMAQ","9",5,0,134,0,3,4,0,0,0,0,0,0,NA,0,0,0,134,108.064516129032,5,0,0,10,5,NA,0,0,10,0,0,0,30,"Poor"
137,"LMAQ","15",6,88,91,3,2,1,2,88,96.7032967032967,1,1.0989010989011,88,1.13636363636364,1.0989010989011,96.7032967032967,47.8260869565217,3,1.6304347826087,5,5,10,5,5,0,0,10,5,10,5,10,70,"Good"
138,"LMAQ","20",6,15,56,1,2,3,1,15,26.7857142857143,0,0,15,0,0,26.7857142857143,11.71875,41,32.03125,5,0,5,10,5,0,0,0,10,0,0,5,40,"Fair"
139,"LMAQ","22",4,0,77,0,2,2,1,0,0,0,0,0,NA,0,0,0,77,77,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
140,"LMAQ","23",2,22,122,2,0,0,1,122,100,100,81.9672131147541,22,0,0,18.0327868852459,108.928571428571,0,0,10,5,10,10,10,0,10,10,10,0,10,10,95,"Good"
141,"LMAQ","26",6,32,54,2,1,1,1,32,59.2592592592593,0,0,32,0,0,59.2592592592593,21.3333333333333,22,14.6666666666667,5,5,10,10,10,0,0,5,10,5,0,10,70,"Good"
