FID,FID_1,newID,Xcoord,Ycoord,HUC8,site,BKT,BRT,Trout_Stat,FID_2,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,IGS_name
78,36,YEL_161,624113.536588000017218,4770468.960119999945164,YEL,161,0,1,1,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
79,50,YEL_40,627166.940974000026472,4772479.915740000084043,YEL,40,0,1,1,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
80,77,YEL_113,622463.518489000038244,4770251.644510000012815,YEL,113,0,0,0,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
81,79,YEL_129,620492.922773999976926,4771220.231909999623895,YEL,129,0,0,0,15,07060001,0706000109,070600010904,14966.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Hickory Creek,NM,S,IA01,IA,Hickory Creek-Yellow River
82,34,YEL_82,638363.356755999964662,4793514.746240000240505,YEL,82,0,1,1,16,07060001,0706000106,070600010602,20576.000000000000000,0.000000000000000, , ,0706000107,Village Creek,TF,S,070600010705,Village Creek,TF,S,IA01,IA,Lower Village Creek
83,37,YEL_178,639155.361802999977954,4795013.884829999879003,YEL,178,0,1,1,16,07060001,0706000106,070600010602,20576.000000000000000,0.000000000000000, , ,0706000107,Village Creek,TF,S,070600010705,Village Creek,TF,S,IA01,IA,Lower Village Creek
84,71,YEL_39,644593.783239000011235,4799628.169590000063181,YEL,39,0,0,0,16,07060001,0706000106,070600010602,20576.000000000000000,0.000000000000000, , ,0706000107,Village Creek,TF,S,070600010705,Village Creek,TF,S,IA01,IA,Lower Village Creek
85,28,YEL_29,623900.116161999991164,4793833.684430000372231,YEL,29,0,1,1,17,07060001,0706000106,070600010601,26015.000000000000000,0.000000000000000, , ,0706000107,Village Creek,NM,S,070600010602,Headwaters Village Creek,NM,S,IA01,IA,Upper Village Creek
86,39,YEL_201,635444.242888999986462,4794230.499029999598861,YEL,201,0,1,1,17,07060001,0706000106,070600010601,26015.000000000000000,0.000000000000000, , ,0706000107,Village Creek,NM,S,070600010602,Headwaters Village Creek,NM,S,IA01,IA,Upper Village Creek
87,108,YEL_125,625016.784293000004254,4793899.697329999879003,YEL,125,0,0,0,17,07060001,0706000106,070600010601,26015.000000000000000,0.000000000000000, , ,0706000107,Village Creek,NM,S,070600010602,Headwaters Village Creek,NM,S,IA01,IA,Upper Village Creek
88,110,YEL_154,628510.814571000053547,4793708.749610000289977,YEL,154,0,0,0,17,07060001,0706000106,070600010601,26015.000000000000000,0.000000000000000, , ,0706000107,Village Creek,NM,S,070600010602,Headwaters Village Creek,NM,S,IA01,IA,Upper Village Creek
89,51,UPI_8,585063.434468999970704,4795710.333990000188351,UPI,8,0,0,0,20,07060002,0706000202,070600020207,20398.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020208,Ten Mile Creek,TF,S,IA01,IA,Tenmile Creek
90,67,UPI_135,578851.387511000037193,4798626.635730000212789,UPI,135,0,0,0,20,07060002,0706000202,070600020207,20398.000000000000000,0.000000000000000, , ,0706000204,Cold Water Creek-Upper Iowa River,NM,S,070600020208,Ten Mile Creek,TF,S,IA01,IA,Tenmile Creek
91,14,UPI_86,598392.753215000033379,4809896.733000000007451,UPI,86,0,1,1,21,07060002,0706000203,070600020301,12240.000000000000000,0.000000000000000, , ,0706000204,Canoe Creek,NM,S,070600020302,North Canoe Creek,NM,S,IA01,IA,North Canoe Creek
92,48,UPI_201,598236.572564000030980,4811099.251779999583960,UPI,201,0,1,1,21,07060002,0706000203,070600020301,12240.000000000000000,0.000000000000000, , ,0706000204,Canoe Creek,NM,S,070600020302,North Canoe Creek,NM,S,IA01,IA,North Canoe Creek
93,13,UPI_85,628878.153847999987192,4804272.488409999758005,UPI,85,1,1,3,22,07060002,0706000206,070600020604,15248.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,French Creek,TF,S,IA01,IA,French Creek
94,16,UPI_117,630156.830182999954559,4803439.951229999773204,UPI,117,1,1,3,22,07060002,0706000206,070600020604,15248.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,French Creek,TF,S,IA01,IA,French Creek
95,100,UPI_73,630817.415029000025243,4803257.035749999806285,UPI,73,1,1,3,22,07060002,0706000206,070600020604,15248.000000000000000,0.000000000000000, , ,0706000105,Upper Iowa River,TF,S,070600020605,French Creek,TF,S,IA01,IA,French Creek
