"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","numIntolSP","pctTOLindv","pctTC_noRBT","pctCW_noRBT","pctBKT_noRBT","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","ML1_numIntolSp","ML2_pctTolindv","ML3_pctTCnoRBT","ML4_pctCWnoRBT","ML5_pctBKTnoRBT","IBIScore_M","Rating_M","IBIScore_L","Rating_L"
77,"YEL","193",8,190,594,1,2,2,3,187,31.4814814814815,0,0,187,0,60.4377104377104,31.986531986532,62.3333333333333,407,135.666666666667,0,63.4680134680135,31.986531986532,31.4814814814815,0,5,0,5,0,5,0,0,0,0,5,5,0,0,0,10,0,0,25,"Poor",10,"Poor"
78,"YEL","201",5,101,115,3,1,0,3,107,93.0434782608696,5,4.34782608695652,101,0,6.08695652173913,87.8260869565217,44.5833333333333,8,3.33333333333333,1,6.08695652173913,87.8260869565217,93.0434782608696,0,5,5,10,0,10,0,0,10,0,10,5,10,10,10,20,20,0,65,"Fair",60,"Good"
79,"YEL","202",6,0,58,1,3,4,1,5,8.62068965517241,0,0,0,NA,0,0,5,53,53,0,81.0344827586207,0,8.62068965517241,0,5,0,0,10,5,NA,0,0,10,0,0,5,0,0,0,0,0,35,"Fair",0,"Very Poor"
80,"YEL","203",4,37,70,2,2,2,0,56,80,0,0,37,0,0,52.8571428571429,18.6666666666667,14,4.66666666666667,0,20,52.8571428571429,80,0,10,5,5,10,5,0,0,5,10,5,0,10,0,10,20,10,0,65,"Fair",40,"Fair"
81,"YEL","204",3,158,274,2,1,0,1,158,57.6642335766423,0,0,158,0,42.3357664233577,57.6642335766423,52.6666666666667,116,38.6666666666667,0,42.3357664233577,56.9343065693431,56.9343065693431,0,10,5,10,10,10,0,0,5,0,5,5,5,0,0,20,10,0,65,"Fair",30,"Fair"
82,"LMAQ","5",8,2,453,2,3,4,2,40,8.83002207505519,0,0,2,0,0.22075055187638,0.441501103752759,17.0940170940171,413,176.495726495727,0,79.9116997792494,0.441501103752759,8.83002207505519,0,5,5,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,25,"Poor",0,"Very Poor"
86,"LMAQ","28b",7,0,51,1,3,4,2,2,3.92156862745098,0,0,0,NA,25.4901960784314,0,1.92307692307692,49,47.1153846153846,0,80.3921568627451,0,3.92156862745098,0,5,0,0,5,5,NA,0,0,0,0,0,5,0,0,0,0,0,20,"Poor",0,"Very Poor"
87,"LMAQ","24",5,100,110,2,2,2,1,100,90.9090909090909,72,65.4545454545455,100,72,0,90.9090909090909,50,10,5,1,8.18181818181818,90.9090909090909,90.9090909090909,72,5,5,5,10,5,5,10,10,10,10,5,10,10,10,20,20,10,90,"Good",70,"Good"
90,"UPI","25",10,8,209,2,4,5,2,43,20.5741626794258,7,3.34928229665072,7,100,25.8373205741627,3.82775119617225,16.5384615384615,166,63.8461538461538,1,68.8995215311005,3.82775119617225,20.5741626794258,100,0,5,0,5,0,10,0,0,0,0,0,0,10,0,0,0,20,20,"Poor",30,"Fair"
91,"UPI","28",11,9,173,3,3,4,5,7,4.04624277456647,2,1.15606936416185,5,0,26.0115606936416,5.20231213872832,2.33333333333333,166,55.3333333333333,1,71.0982658959538,4.04624277456647,2.89017341040462,0,0,5,0,0,5,0,0,0,0,0,0,5,10,0,0,0,0,15,"Poor",10,"Poor"
92,"UPI","70",7,2,194,3,3,2,3,128,65.979381443299,2,1.03092783505155,2,0,4.12371134020619,1.03092783505155,71.1111111111111,66,36.6666666666667,1,32.4742268041237,1.03092783505155,65.979381443299,0,5,5,5,0,5,0,0,5,0,0,5,5,10,0,0,10,0,35,"Fair",20,"Poor"
93,"UPI","73",4,82,327,4,0,0,1,327,100,276,84.4036697247707,82,40.2439024390244,0,25.0764525993884,140.948275862069,0,0,2,0,25.0764525993884,100,40.2439024390244,10,10,10,10,10,5,10,10,10,0,10,10,20,20,10,20,10,105,"Excellent",80,"Good"
94,"UPI","78",9,3,105,1,3,5,2,3,2.85714285714286,3,2.85714285714286,3,0,17.1428571428571,2.85714285714286,1,102,34,1,87.6190476190476,2.85714285714286,2.85714285714286,0,5,0,0,5,5,0,0,0,0,0,0,5,10,0,0,0,0,20,"Poor",10,"Poor"
97,"UPI","151",3,50,51,3,0,0,1,51,100,1,1.96078431372549,50,0,0,98.0392156862745,17,0,0,1,0,88.2352941176471,90.1960784313726,0,10,5,10,10,10,0,0,10,10,10,0,10,10,20,20,20,0,85,"Good",70,"Good"
98,"UPI","153",5,3,138,4,0,0,2,132,95.6521739130435,126,91.304347826087,3,0,0,2.17391304347826,78.5714285714286,6,3.57142857142857,2,0,0,93.4782608695652,0,5,10,10,5,10,0,10,10,10,0,10,10,20,20,0,20,0,90,"Good",60,"Good"
100,"YEL","5",4,0,94,1,3,3,0,10,10.6382978723404,0,0,0,NA,0,0,8.92857142857143,84,75,0,89.3617021276596,0,10.6382978723404,0,10,0,5,10,5,NA,0,0,10,0,0,0,0,0,0,0,0,40,"Fair",0,"Very Poor"
101,"YEL","9",14,0,1298,1,5,10,4,2,0.154083204930663,0,0,0,NA,6.62557781201849,0,0.666666666666667,1296,432,0,40.8320493066256,0,0.154083204930663,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
103,"YEL","24",6,12,100,1,2,2,2,12,12,0,0,12,0,0,12,6.66666666666667,88,48.8888888888889,0,12,12,12,0,5,0,5,5,5,0,0,0,10,0,0,5,0,10,0,0,0,35,"Fair",10,"Poor"
104,"YEL","28",2,113,114,1,0,0,1,113,99.1228070175439,0,0,113,0,0,99.1228070175439,56.5,1,0.5,0,0,99.1228070175439,99.1228070175439,0,10,0,10,10,10,0,0,10,10,10,5,10,0,20,20,20,0,85,"Good",60,"Good"
