"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
3699,623532.055469,4779855.33995,267831,21.3291,7.1388707,0.634490047404694,0.0827936031255825,0.463021050688668,0.777514879970861
3700,615419.504905,4779662.97016,14060,1.11969,0,0.246566747036224,0.0646085276895861,0.142015075483151,0.392846645923498
3701,616107.048222,4779617.91762,187795,14.9553,7.3059716,0.522159734646516,0.0631435725383513,0.399556410043822,0.642149956092354
3702,624113.248119,4779550.65016,10459,0.832916,41.9442177,0.49038905285064,0.0739835502254599,0.350080976715278,0.63222784406544
3703,615419.969045,4779558.64143,169601,13.5064,7.874404,0.49934788669475,0.0591103355812762,0.385557323625454,0.613206040055885
3704,615264.948976,4779109.22324,133403,10.6237,7.4300079,0.443846434449374,0.0550318010445589,0.340174104414412,0.552650792671266
3705,617775.882835,4779300.79662,28623,2.27943,18.5022335,0.366571172412095,0.0613744411588369,0.256352384200619,0.492776600844774
3706,616374.046419,4779124.33524,201340,16.034,8.5710983,0.550065037798454,0.0653259849448517,0.421553434960705,0.672225193561642
3707,622844.667052,4779034.42596,14993,1.19399,30.8921528,0.425138459168597,0.0669053792019452,0.301899091316921,0.558442204720569
3708,621151.90917,4778922.65547,38991,3.1051,0,0.274586925684533,0.0629873205502617,0.16920794374184,0.412971301766448
3709,620639.169564,4778830.66804,21199,1.68821,15.92941,0.341247508328702,0.0630092644772836,0.230213772583421,0.472932700075307
3710,621604.242745,4778881.31991,20717,1.64982,1.8703315,0.263255355483969,0.0640934141497657,0.157518736249853,0.405782839546685
3711,614426.786202,4778761.19052,14353,1.14302,0.662419,0.25012756653304,0.0645941896246237,0.145180234095269,0.395811196409143
3712,619955.470806,4778775.70496,13356,1.06362,22.4492702,0.369909895935674,0.0651427630884683,0.253431208525673,0.503797073253726
3713,620697.73015,4778809.53692,13275,1.05717,35.3530617,0.451453565195945,0.069344532475096,0.322212108645698,0.587593415215381
3714,617909.790753,4778886.27288,221467,17.6368,11.5378408,0.597773319892373,0.0682528651390239,0.460042522489858,0.721630342072558
3715,619181.411298,4779549.06154,9034,0.719434,12.0765905,0.30369671213117,0.0652249243901755,0.192430646096888,0.443932188939098
3716,622541.253912,4778939.6891,27019,2.15169,24.911665,0.404128206164796,0.0621216176452029,0.290304199732585,0.529296495211115
3717,615555.942614,4779018.33384,34066,2.71289,10.0493364,0.323709383708443,0.0613721831398191,0.216491550529145,0.453305673813227
3718,618452.811925,4778966.44059,15564,1.23946,45.3642235,0.520241032455164,0.0747695277331042,0.376099741403095,0.661089447825493
3719,622941.463138,4778875.24129,11432,0.910402,40.402916,0.481714573407316,0.0727199533137831,0.344331198603875,0.621919405420799
3720,622278.890785,4778481.87195,20352,1.62076,18.7299461,0.356803020271838,0.063190406781335,0.244357654496821,0.487602769899599
3721,614821.535627,4778395.84102,21455,1.7086,15.1592369,0.337057318979607,0.062983597125042,0.226375912732782,0.469044160783385
3722,622190.562088,4778377.46214,16341,1.30134,6.8536773,0.28413925630747,0.0642438031517363,0.176090534479597,0.424340532264482
3723,616589.002024,4777132.97074,145401,11.5792,13.326354,0.499762157142939,0.0520675438115572,0.399115111795163,0.600428480548349
3724,616856.726081,4777199.49866,51045,4.06503,15.4221506,0.378290064919005,0.0571859286955475,0.274207311878247,0.494938983353721
3725,617274.594875,4776463.62873,24603,1.95929,3.1228232,0.274163990688771,0.0636501379530717,0.167912019758228,0.41418354179805
3726,617756.195597,4776357.40084,16029,1.27649,0.0907015,0.249152728076543,0.0644892834531486,0.14445373195728,0.394725504426646
3727,616615.773772,4776459.56315,131627,10.4823,11.8697701,0.470150285328874,0.0518438269771633,0.371113484579492,0.571594806108392
3728,617232.789541,4776407.21403,19936,1.58763,14.1179237,0.32902432520956,0.0633135737374658,0.218454308689766,0.462444449470029
3729,616696.555754,4776440.62234,10869,0.865567,30.1412868,0.414480752397336,0.0677675404601053,0.290538314245736,0.550285920830062
3730,616240.998141,4776039.19433,121677,9.6899,8.3292122,0.432798533253758,0.0538929777413368,0.331650806691641,0.539876060317548
3731,615919.238588,4775539.65689,111775,8.90135,5.2486877,0.399151612484967,0.0560960445572651,0.295788081920636,0.512355847221874
3732,615530.540535,4775186.25564,16786,1.33677,0.7483737,0.253226708592221,0.0644310946504647,0.148138692148966,0.398030493544975
3733,615579.970532,4775112.25243,89254,7.10786,3.5409954,0.357728865843553,0.0579655660650682,0.253560551345449,0.477325922946305
3734,615638.230151,4774550.94035,81523,6.49219,3.0399656,0.34445587280847,0.0587140656931844,0.239917964769114,0.466582407435983
3735,615083.937611,4775012.04186,11619,0.925294,0.6774142,0.247219202864754,0.0647716218074429,0.14238114408979,0.393805168194882
3736,615732.898013,4774340.30069,76631,6.10261,2.4485855,0.334576130089968,0.0593608315287364,0.229675902096701,0.458848934137849
3737,615754.079959,4774012.00131,71626,5.70403,0,0.314111542303603,0.0609260464747118,0.208296061077834,0.443564840311284
3738,615558.332636,4773750.45465,33635,2.67857,5.3559098,0.296852344482364,0.0623655028047533,0.19031910846373,0.431256606187276
3739,615636.721991,4773703.4452,36719,2.92416,0.1832379,0.272905082173577,0.0631067975531626,0.167525367633827,0.411783343433487
3740,615053.487323,4773375.08127,25646,2.04235,0.7758822,0.26327123621086,0.0638080491593635,0.157916015804893,0.405101402823228
3741,615828.05878,4773206.89925,30190,2.40422,0.2117964,0.265554266004267,0.0635536955384853,0.160304256931269,0.40645789784703
3742,614844.111253,4773018.38544,17313,1.37874,0.0016338,0.250119321639264,0.0644113970856445,0.145410144488446,0.39534752219797
3743,615762.529881,4772908.53389,21474,1.71011,0.1561365,0.255472384854217,0.0641423867583614,0.150512721124665,0.399227263095269
3744,615713.385943,4772459.29743,10979,0.874327,0,0.24324078825605,0.0647893490264205,0.138853178557382,0.390517219818508
3745,630679.865189,4775678.86943,750464,59.7642,25.8245869,0.979341339255343,0.0258686439658361,0.794573959321225,0.998281822021991
3746,630324.72529,4775459.10494,734327,58.4791,24.6047783,0.97662801340959,0.0284193468238253,0.784536320549494,0.997919023449035
3747,629995.863386,4775356.86353,696493,55.4661,22.1583881,0.969158775693162,0.0348906106471275,0.761280499564976,0.996780933967031
3748,629578.355378,4775203.70794,593369,47.2537,18.638752,0.940100766955522,0.0541310750885254,0.704588472888612,0.990410039037644
3749,629679.406507,4775162.84073,100035,7.96642,41.4961433,0.616023667550148,0.0547842304902191,0.504690104109632,0.716394736514137
3750,630373.200567,4775352.58687,15472,1.23213,80.8243179,0.733033478479233,0.0928377902263913,0.520054800993267,0.874338295797586
3751,630037.343246,4775276.15441,34546,2.75111,0,0.269448685231159,0.063289049878959,0.164162130867964,0.409202565650511
3752,628673.172207,4774812.22951,16752,1.33407,0,0.249497659681671,0.0644458413819106,0.144815185474934,0.394908113313984
3753,629777.675788,4774653.13058,26235,2.08926,71.6491852,0.696855506279424,0.0875277698955753,0.50507068302891,0.838140028502451
3754,628262.071905,4774396.80774,8906,0.709241,50.8855209,0.546585693687987,0.08070048266619,0.389043242586822,0.695318977663692
3755,628649.129602,4774714.62925,567454,45.1899,18.550663,0.930844434350017,0.0586315991970985,0.693084623572839,0.987689152147683
3756,628841.538519,4774554.06648,93419,7.43954,41.9556732,0.609718684463698,0.0557132754359943,0.496812409610391,0.711978029129357
3757,629674.553759,4774173.94849,9256,0.737113,98.6845932,0.808763382976878,0.0912677409707518,0.57087509452983,0.930769322640789
3758,629834.889926,4774109.03361,13146,1.0469,54.8817749,0.578446375107528,0.0822886291286251,0.414592270865424,0.726673600409334
3759,626307.1601,4773799.48873,24641,1.96232,2.9093773,0.2730959842524,0.0636695187218758,0.16692350883766,0.413296956455734
3760,626059.956087,4773933.35203,17395,1.38527,4.1386294,0.271100795593888,0.0642599712283894,0.164322350173254,0.412975902534782
3761,627683.844298,4773792.98422,558751,44.4968,17.9247398,0.926390333386747,0.0609095808613408,0.686078071896581,0.98638925521056
3762,626269.962341,4773699.84181,9361,0.745475,0,0.241506403878,0.0648818424901859,0.137211258461196,0.389306406930778
3763,628814.766771,4773338.32471,42370,3.37419,49.211525,0.583788770709584,0.0701488802277972,0.443368782598693,0.711810546682288
3764,627293.570685,4772889.25388,44021,3.50567,18.6799736,0.388787987394813,0.0580140736718765,0.282741352901601,0.506520766774793
3765,627557.617759,4773411.21131,552845,44.0265,17.1017303,0.922475728047615,0.0629956735631941,0.6791725172451,0.985269112751538
3766,628667.543812,4772847.58006,38983,3.10446,45.0900345,0.552438584401525,0.0680882219603839,0.418432840936018,0.679236885902569
3767,628981.214637,4773258.24096,38912,3.09881,0,0.274495095382063,0.0629926944742851,0.169117596695222,0.412903590920315
3768,627314.303861,4772797.87011,56754,4.51968,100,0.852424914933643,0.0742746571722439,0.644859352815026,0.948386444911475
3769,627383.703033,4772636.54087,101149,8.05513,23.2733307,0.500372644931004,0.0480594134721551,0.407263752524114,0.593455699959106
3770,627392.294581,4772626.89075,443073,35.2847,15.234767,0.856526688056662,0.0821459630638753,0.616940581508373,0.956764289585613
3771,624811.387641,4772489.59132,11751,0.935806,0,0.244071285542639,0.0647446073654488,0.139641101413826,0.391097937905851
3772,624754.569402,4772416.28633,9381,0.747068,6.4577951,0.273879338931484,0.0650693969769988,0.165712733998422,0.41733209307802
3773,626723.068077,4772602.28762,51124,4.07133,20.2516613,0.408603002705526,0.0563173636112216,0.304380067546277,0.521746096988907
3774,625188.824299,4772130.72103,25264,2.01193,3.1713727,0.275186302368146,0.0635832077400675,0.168925591931756,0.41491786721051
3775,622636.676766,4772139.64494,10159,0.809025,2.0367217,0.252299285482206,0.0649092318851647,0.146693156113775,0.398433291887935
3776,625436.665599,4772107.19339,30795,2.4524,2.8747802,0.280102285863987,0.0631092112027457,0.174024662464168,0.41810906785136
3777,625679.314302,4772246.73193,35118,2.79667,7.0328236,0.307951381085872,0.0618381068364588,0.201263310555964,0.44003714632281
3778,627296.760065,4772549.76867,435350,34.6697,14.6133251,0.84881852606601,0.0838463963517594,0.609389814695313,0.952843594114618
3779,619929.6429,4772016.53095,12343,0.982951,0.4772039,0.24702901768897,0.0647210692011936,0.142278325427252,0.393518228714247
3780,620121.11768,4771940.17311,21480,1.71059,6.3795357,0.287726383207688,0.0636538324914268,0.180167636430161,0.426121748593544
3781,622915.926393,4771872.05945,15223,1.2123,2.533047,0.260414631387236,0.0645120652586511,0.154424057272991,0.404364141579028
