"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for"
450,567998.280092,4806209.32797,20310,1.61741,0.0086946
451,572030.013035,4806252.86432,312011,24.8474,0
452,571829.107226,4806121.91659,29707,2.36575,0.0006517
453,571933.726992,4806116.96397,281877,22.4476,0.1449381
454,568058.259959,4806017.31714,49646,3.95362,0
455,572924.281654,4806000.46164,338927,26.9909,0.2785538
456,578707.055784,4805815.55436,8890,0.707967,0.2547021
457,568227.400366,4805696.47017,57690,4.59422,0
458,568290.092141,4805684.64471,63125,5.02704,0.0049655
459,578724.826972,4805820.66617,740650,58.9826,3.415669
460,573234.814761,4805628.74386,343726,27.3731,0
461,568556.475395,4805611.07327,70363,5.60345,0
462,579494.59189,4805920.97413,17423,1.3875,8.9781551
463,576644.977135,4805509.52599,8874,0.706692,0.1118605
464,573746.794787,4805399.0794,351395,27.9838,1.8902407
465,574143.873978,4805312.39809,362416,28.8615,0
466,578742.762374,4805638.79915,737635,58.7425,3.4315856
467,571160.817458,4805368.83651,10512,0.837137,0
468,571845.404442,4805957.39833,277302,22.0833,0.1475284
469,574433.757407,4805274.14458,437714,34.8579,2.7325048
470,574465.329458,4805293.67208,10924,0.869947,0
471,569070.39564,4805255.05111,81097,6.45826,0.0065656
472,569201.162203,4805297.22326,12267,0.976898,0.0012932
473,576750.867127,4805202.70153,13002,1.03543,0
474,576750.102418,4805172.58368,606219,48.277,2.839915
475,577605.306773,4805191.14219,688057,54.7943,2.8978112
476,571228.737638,4805265.22067,254897,20.299,0.1615177
477,577883.179169,4805128.56222,693836,55.2545,3.227524
478,579577.87155,4805446.13801,9955,0.792779,0
479,576564.820141,4805155.84586,603173,48.0345,2.8561461
480,576884.605109,4805072.84312,619451,49.3308,2.8178873
481,574174.11017,4805266.66154,74474,5.93083,6.6990471
482,577261.377986,4805131.43514,625737,49.8314,3.0340726
483,578010.913702,4805048.24316,696680,55.481,3.2134182
484,578174.612203,4805027.20289,704688,56.1187,3.1745803
485,578251.859431,4805000.37097,707633,56.3533,3.1606193
486,578595.832272,4805305.78037,720747,57.3976,0
487,575185.907323,4805034.37286,8851,0.704861,2.3705549
488,575175.059423,4804995.55222,454921,36.2282,0
489,576396.870375,4805115.69844,598824,47.6881,2.8749394
490,575796.890174,4804942.17491,127323,10.1395,4.0530601
