"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
1562,599779.296375,4796352.90719,28074,2.23571,24.0060635,0.126860519864686,0.0310208288477375,0.0774217105214798,0.200991494443432
1563,599418.632369,4795952.09941,13869,1.10448,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1564,599451.602315,4795965.74044,32193,2.56373,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1565,597959.890843,4795990.1205,10830,0.862461,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1566,599365.66121,4795817.52416,46307,3.68772,35.7775803,0.153990275487634,0.0337737201804845,0.0987001084511684,0.232271180618082
1567,597732.041441,4795756.14838,21744,1.73161,17.0521889,0.112831537542499,0.0306205878737391,0.0652722088886003,0.188071511058823
1568,597556.227837,4795697.12139,12413,0.988525,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1569,599339.072641,4795432.49849,10012,0.797318,0.0002917,0.0840463292591578,0.0305484451314189,0.0404516217127301,0.166472162042558
1570,599294.611643,4795386.28721,50114,3.99089,7.7151227,0.0961375511525783,0.0305805382730593,0.0506587188863405,0.174922110702884
1571,599793.842975,4794771.04497,65631,5.22661,5.0158978,0.0917398660201359,0.0305841884682315,0.0468874030046161,0.171765948462633
1572,598613.752525,4795036.47063,43105,3.43272,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1573,598332.127816,4794677.72332,38325,3.05206,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1574,599937.14882,4794632.11418,72542,5.77697,4.367919,0.0907114080197277,0.0305833121125997,0.0460140569901433,0.171042616775912
1575,597982.637428,4794581.97371,30890,2.45996,21.7282867,0.122108265871785,0.0308265227497805,0.0733566903867163,0.196392619642132
1576,597468.224729,4793584.72176,17474,1.39156,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1577,605922.663047,4794306.65197,13587,1.08202,99.4281158,0.381059904340386,0.13349841597701,0.168760557553153,0.651203424638964
1578,606879.781554,4793820.13343,29383,2.33995,86.2626114,0.323637415208858,0.103730314923879,0.158972784423306,0.547773841893929
1579,607009.509373,4793734.43034,34655,2.7598,96.6502838,0.368598610785578,0.127107147745593,0.16677404327474,0.629995591194662
1580,607382.44968,4794000.23148,473340,37.695,27.77952,0.135080645107202,0.0315365030422193,0.0842611747751729,0.209536919666897
1581,606957.934389,4793691.62258,436813,34.7862,26.3483944,0.131911411231498,0.0313085292787535,0.0816573308268437,0.206150567443329
1582,606495.384906,4793293.44025,427325,34.0306,24.2688389,0.127418812972711,0.0310483189636003,0.0778945930250452,0.201547724287984
1583,606353.270517,4793199.48298,418104,33.2962,22.1855602,0.123049849075423,0.0308596245325236,0.0741673134963674,0.197284896764659
1584,606150.893989,4792976.98851,410927,32.7247,21.5704346,0.121784683780921,0.0308157316267589,0.0730775296154929,0.196088200576622
1585,606044.972548,4792890.16016,406283,32.3549,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1586,605957.537879,4792652.6472,22930,1.82606,81.2328949,0.302926765074236,0.092992223167479,0.154918486937895,0.507433314798526
1587,606039.8421,4792756.71553,383268,30.522,17.3801498,0.11346157860531,0.0306286007728774,0.0658252509780289,0.188611137866418
1588,606120.728613,4792249.36431,369647,29.4373,15.962945,0.110760873336606,0.0305992016554217,0.0634528355738581,0.186322962792667
1589,606187.453769,4792179.02234,9789,0.77956,56.5649567,0.213212798312493,0.050781919359286,0.130223508727553,0.329079717951197
1590,605281.2414,4791588.12874,20300,1.61662,4.9132323,0.0915762164057347,0.0305841050908456,0.0467481703520706,0.171650462174265
1591,605916.553065,4791911.45559,38095,3.03374,25.7429829,0.13058981566738,0.0312245635906126,0.0805586327249514,0.204772765501144
1592,605987.389966,4791880.7926,330165,26.2931,15.0020151,0.108961832781123,0.0305861786920767,0.0618707036255614,0.184833344360717
1593,605335.944108,4791530.0666,13315,1.06036,32.311451,0.145542266757097,0.0325790236124759,0.0925020920355372,0.221569914465011
1594,606451.433592,4791259.52042,319877,25.4738,13.5768137,0.106340834530454,0.0305749778848622,0.0595659176171862,0.18271026768598
1595,606329.058321,4790953.79615,314387,25.0366,11.9245567,0.103371937710687,0.030570975640679,0.0569594860756518,0.180369515426496
1596,606011.321282,4790415.82465,301081,23.977,10.5547905,0.100966483547499,0.0305724050457125,0.0548545341458235,0.178519699617341
1597,605755.740278,4790215.78009,287865,22.9245,9.1267614,0.0985117303134196,0.0305762483542443,0.0527156967756512,0.176672401045161
1598,605809.80404,4790207.89741,12162,0.968536,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1599,605333.29813,4790236.61744,281426,22.4117,7.984652,0.0965868827782438,0.0305797642974655,0.0510470239589624,0.175250691496214
1600,604741.696037,4789884.04399,272895,21.7323,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1601,605156.192308,4789257.84124,257298,20.4903,3.0668221,0.0886776412706494,0.03057865881806,0.0442979838985461,0.169627294191682
1602,605029.626,4789280.2041,12492,0.994816,90.3949661,0.341190914950994,0.112882564302754,0.162156419919698,0.580855600405639
1603,605250.346487,4789218.37908,251202,20.0048,3.1778266,0.0888495372043085,0.0305792226831592,0.0444424456830977,0.169746208012624
1604,605246.704949,4789078.42186,229130,18.2471,0.8726192,0.0853409549365992,0.0305601406047628,0.0415175509172256,0.167345395867377
1605,605102.479625,4788930.6624,12849,1.02325,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1606,605166.389706,4788677.19855,224216,17.8557,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1607,605617.316277,4787841.0061,53745,4.28005,0.1387327,0.0842505888583572,0.0305504782388704,0.0406192863222373,0.166609578994884
1608,605561.134137,4787866.72291,163424,13.0145,0.2865446,0.0844691795443664,0.0305525761442296,0.0407989246640117,0.166756673940531
1609,606050.285645,4787555.17428,45897,3.65507,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1610,605300.692113,4787364.06726,19766,1.57409,1.7984898,0.0867348017469982,0.030569754944039,0.0426734340197785,0.16829295904441
1611,604665.352953,4787232.82681,10402,0.828377,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1612,606123.301828,4787284.00446,37797,3.01001,0.0307115,0.0840911747552828,0.0305488983751869,0.0404883957915271,0.166502274964223
1613,605398.411519,4787318.5911,141147,11.2404,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1614,606265.150489,4786809.44351,32046,2.55202,0.03704,0.0841005023287932,0.0305489906792445,0.0404960497542308,0.166508658908457
1615,605550.091581,4786660.67266,131160,10.4451,0.192123,0.084329487592814,0.0305512456504146,0.0406841028703073,0.166662626766129
1616,606397.890097,4786572.76392,27336,2.17694,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1617,606459.383721,4786211.95781,22090,1.75917,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1618,606605.877556,4786080.86371,18309,1.45806,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1619,606817.930653,4785974.63523,13601,1.08313,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1620,605327.020192,4785667.55455,114446,9.11405,0.2393998,0.0843994039267322,0.0305519154224792,0.0407415531981468,0.166709714506968
1621,605379.671295,4785213.1817,104117,8.29149,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1622,605353.791939,4785080.9745,99151,7.89602,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1623,605547.127854,4784614.18139,90405,7.19952,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1624,605926.827574,4784325.37113,41237,3.28396,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1625,605803.612718,4784288.85798,45912,3.65626,0.7265813,0.0851229657868028,0.030558365963895,0.0413375398483179,0.167197885817888
1626,606878.495112,4784223.05585,27643,2.20139,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
